,loan_amnt,int_rate,annual_inc,dti
58122,7500.0,10.99,110000.0,24.24
496,3000.0,8.67,73000.0,17.84
85786,8450.0,16.29,25000.0,15.65
68001,20000.0,9.17,81000.0,17.91
27059,6575.0,13.66,74000.0,9.93
42481,7400.0,20.2,38000.0,24.56
8814,16000.0,8.19,103258.0,6.3
38934,11925.0,18.99,42292.0,32.8
75286,19725.0,17.57,45000.0,33.39
77685,12000.0,10.15,49160.0,16.43
70089,22375.0,15.61,133000.0,13.54
73691,14750.0,16.29,37000.0,37.92
73785,7025.0,10.15,34000.0,31.36
44666,1000.0,13.98,53800.0,21.93
36671,20000.0,6.49,106196.0,11.83
59433,17975.0,15.61,60000.0,27.1
78220,8000.0,6.03,240000.0,18.02
98593,11500.0,12.99,26274.0,16.45
95191,22000.0,19.52,55000.0,7.62
65761,8275.0,16.99,47000.0,35.52
37098,24000.0,7.12,63000.0,14.7
94128,3000.0,20.2,50000.0,25.08
99142,25000.0,14.49,63000.0,11.07
97002,1800.0,7.69,70000.0,19.44
26363,3000.0,14.31,46320.0,21.09
63065,35000.0,9.17,88000.0,20.11
32356,16000.0,8.39,90000.0,10.23
57083,28000.0,8.39,116000.0,25.54
6794,15000.0,11.99,80000.0,12.85
96504,15000.0,10.99,75000.0,22.43
69000,10000.0,10.15,44688.8,28.49
33995,11300.0,8.39,67000.0,23.5
58040,9500.0,11.67,25000.0,20.36
29823,8000.0,13.66,50000.0,8.45
42650,13000.0,10.99,52000.0,21.28
80958,2200.0,8.39,110000.0,10.54
43845,17000.0,14.49,105000.0,18.26
55258,10000.0,11.67,70000.0,22.27
51792,7800.0,6.49,42000.0,24.77
81109,35000.0,15.61,164500.0,18.49
68474,35000.0,16.99,118000.0,11.07
68630,14725.0,19.52,56000.0,33.73
64494,2000.0,7.12,56000.0,8.1
83976,7500.0,10.15,58000.0,23.44
2911,9600.0,14.99,65000.0,12.0
64762,12075.0,18.24,70000.0,11.71
63113,8600.0,7.69,71000.0,2.7
57425,35000.0,25.57,105700.0,9.73
56816,9600.0,12.99,58000.0,21.91
52462,12000.0,12.99,74000.0,25.79
79743,12000.0,7.69,70000.0,26.37
59162,9600.0,14.49,39200.0,30.73
99727,16000.0,14.49,92000.0,12.58
78581,35000.0,8.39,180000.0,11.89
93792,15000.0,12.99,100356.0,12.48
66044,19050.0,24.08,60000.0,32.54
24156,12550.0,6.99,86000.0,27.05
86083,25000.0,14.99,80000.0,9.08
47230,7700.0,14.99,37200.0,25.26
38770,10000.0,12.49,35000.0,27.61
60569,12600.0,20.2,42000.0,23.28
3677,24000.0,6.49,120000.0,5.39
81188,3000.0,10.15,64800.0,9.31
84186,9325.0,14.99,35000.0,26.95
83531,35000.0,12.49,80000.0,11.91
19739,5225.0,17.14,45000.0,27.12
80652,9000.0,19.52,117000.0,26.09
9855,20000.0,8.19,75000.0,6.08
85267,9000.0,12.99,57500.0,6.35
20558,28000.0,8.67,70000.0,31.98
66641,11000.0,7.12,50500.0,24.91
96879,12000.0,9.17,60000.0,26.12
51855,10000.0,6.03,50000.0,15.65
70872,15000.0,14.99,70000.0,18.09
44901,9600.0,12.49,72000.0,16.56
89013,25000.0,18.24,85000.0,4.7
28041,12000.0,15.99,42000.0,16.26
75543,17000.0,13.98,60000.0,14.52
25330,12000.0,15.59,57000.0,15.87
96571,4000.0,11.67,30000.0,29.6
81825,13000.0,6.49,110000.0,3.05
55624,16000.0,10.99,150000.0,4.4
36750,16850.0,15.61,47500.0,29.54
30206,25000.0,12.99,92000.0,7.31
39171,12500.0,11.67,78000.0,12.45
62891,9600.0,13.35,40000.0,13.32
3744,20000.0,12.39,50000.0,12.53
45542,21000.0,11.67,200000.0,9.48
76467,24000.0,15.61,80000.0,10.34
18054,11000.0,6.99,90000.0,10.39
18901,14000.0,12.39,92000.0,18.89
42212,2500.0,12.99,68000.0,10.98
95224,13800.0,15.61,98000.0,31.96
13019,21800.0,17.14,66099.0,28.79
791,2925.0,12.99,38000.0,3.1
60966,6000.0,6.03,75000.0,12.67
13407,6000.0,14.31,70000.0,22.36
42982,17000.0,6.49,89700.0,18.02
12790,35000.0,10.49,128000.0,19.61
95634,23400.0,7.69,51000.0,18.75
76358,3000.0,14.99,90000.0,24.2
14661,5000.0,12.99,85000.0,12.01
46902,12000.0,14.49,85000.0,7.81
98637,3200.0,11.67,72100.0,17.79
78321,20000.0,7.12,110000.0,18.21
91447,15000.0,15.61,58000.0,35.34
46924,30000.0,10.15,83000.0,22.25
85134,19200.0,6.49,70000.0,19.87
45352,8650.0,13.35,50000.0,12.51
32847,15750.0,19.52,36000.0,37.73
45491,20000.0,17.57,89000.0,28.14
23376,1600.0,12.39,93000.0,11.56
3047,5600.0,15.99,30000.0,26.72
65902,29600.0,19.52,85000.0,18.58
1196,25000.0,20.99,95000.0,24.43
28394,10000.0,11.99,56000.0,24.84
13011,1200.0,14.99,75000.0,8.05
92640,11500.0,24.99,36000.0,8.57
93981,15000.0,12.49,60000.0,8.11
99163,6000.0,10.99,100000.0,9.05
36579,6000.0,9.17,42000.0,23.63
3525,5000.0,13.66,55000.0,31.11
94820,5300.0,8.39,37000.0,24.89
77023,18000.0,13.35,50000.0,26.81
99323,4750.0,17.57,90000.0,12.27
19582,29000.0,6.03,140000.0,9.78
84670,5000.0,13.35,63000.0,12.7
71027,21000.0,6.49,134000.0,14.15
21859,35000.0,12.39,236000.0,11.56
9805,11000.0,6.49,36000.0,10.79
81574,2500.0,14.49,25000.0,22.95
87625,8000.0,16.99,58000.0,22.78
94428,8000.0,11.67,51000.0,8.64
19756,12000.0,14.31,47000.0,27.07
13919,10000.0,17.86,40000.0,15.21
52499,8000.0,13.98,105000.0,12.37
49421,19200.0,8.39,86000.0,12.35
26501,15000.0,8.19,85000.0,9.08
66280,2850.0,24.5,17000.0,13.63
96915,8000.0,9.17,56400.0,5.6
44679,25000.0,10.99,127000.0,15.5
66587,5475.0,24.99,22000.0,7.75
38735,35000.0,9.17,155000.0,12.36
60285,16000.0,12.99,60000.0,14.14
85122,19200.0,7.69,189000.0,12.96
71687,25000.0,19.52,80000.0,36.17
10249,19200.0,24.99,60000.0,19.31
85840,18000.0,9.17,130000.0,17.04
14559,9000.0,15.99,66000.0,15.73
96129,35000.0,12.49,150000.0,3.38
48458,10000.0,7.69,102000.0,13.52
4744,4000.0,16.49,41000.0,5.3
20723,8700.0,6.03,24960.0,28.08
39342,5225.0,16.29,55000.0,14.34
91496,5000.0,6.03,53000.0,14.72
4909,15000.0,14.99,120000.0,36.75
38119,15000.0,14.99,80000.0,27.02
93346,7000.0,18.24,85000.0,10.05
41721,15000.0,15.61,63500.0,22.62
31041,10000.0,20.99,50000.0,21.03
98283,2475.0,15.61,31000.0,22.38
60954,5600.0,16.29,175000.0,4.74
29598,28000.0,14.31,135000.0,4.4
75410,20000.0,19.52,62000.0,17.27
74372,34350.0,24.08,86000.0,34.29
88665,20000.0,6.49,60000.0,19.44
35876,8000.0,7.69,60000.0,12.2
15594,28000.0,8.67,110000.0,25.38
4722,8000.0,8.19,45000.0,19.57
71460,9250.0,20.99,100000.0,11.23
90335,10000.0,12.99,70000.0,25.77
12987,9600.0,11.99,85000.0,8.87
83333,10000.0,10.15,44500.0,12.92
82578,18000.0,20.2,50000.0,17.79
52902,6600.0,16.99,43400.0,28.26
27076,9000.0,11.44,61278.6,30.75
46900,5325.0,24.08,25000.0,26.5
32966,20000.0,12.49,89000.0,21.91
69826,19000.0,13.98,50000.0,14.09
60874,20000.0,14.49,56000.0,11.94
99411,25000.0,8.39,95000.0,10.14
97814,20500.0,9.17,68500.0,36.34
75009,8000.0,11.67,41600.0,32.26
73126,4625.0,11.67,63125.0,16.24
79690,6000.0,7.12,41000.0,15.87
43597,20000.0,12.49,235000.0,8.53
76049,30000.0,11.67,230000.0,10.1
42135,7200.0,6.49,120000.0,15.59
7434,3400.0,19.24,28620.0,17.4
67618,12000.0,10.99,87000.0,22.84
14099,7000.0,9.49,55000.0,10.76
42390,21325.0,15.61,71300.0,23.97
42683,22675.0,13.35,54000.0,33.67
11759,3000.0,6.99,32000.0,17.78
35657,6200.0,12.49,67000.0,15.73
86392,1450.0,24.08,60000.0,31.42
2891,8000.0,8.19,75000.0,8.18
93876,26000.0,11.67,75000.0,15.43
84624,20000.0,11.67,72000.0,33.0
45367,15000.0,12.99,120000.0,29.86
69200,25000.0,13.35,163000.0,16.65
70987,25000.0,8.39,65000.0,24.8
24089,13100.0,10.49,39000.0,18.77
74196,20400.0,19.52,47500.0,18.17
40402,4050.0,10.15,77375.0,13.67
38644,24950.0,15.61,62400.0,39.75
8438,25000.0,11.44,78000.0,12.18
76495,10000.0,7.69,67000.0,9.19
76921,15000.0,11.67,100000.0,10.84
83312,15000.0,19.52,56000.0,14.44
77655,7000.0,10.99,45000.0,19.97
23995,6000.0,14.99,42640.0,33.3
706,6000.0,11.99,125000.0,24.46
19751,8000.0,14.31,40000.0,21.25
30103,24125.0,14.99,171600.0,11.43
82951,14000.0,10.15,45000.0,26.58
90001,24000.0,18.99,105000.0,17.44
91869,5000.0,8.39,95000.0,7.31
76293,1500.0,12.99,34000.0,15.99
29139,35000.0,12.39,80000.0,14.67
22961,7000.0,14.31,114000.0,12.47
50478,10800.0,10.99,70000.0,14.02
32848,15000.0,13.35,70000.0,12.38
79446,28000.0,8.39,85000.0,31.36
43369,15000.0,10.99,53042.0,25.27
60617,31575.0,13.98,72000.0,33.77
83178,6000.0,9.17,45204.0,21.58
77666,35000.0,16.29,85000.0,17.23
53506,5900.0,14.49,35000.0,15.81
89456,10000.0,14.99,63000.0,5.92
15194,20400.0,18.54,81300.0,29.85
18446,8125.0,12.99,16266.0,18.6
26743,3600.0,11.99,25000.0,6.44
73353,22000.0,10.15,63000.0,26.23
10641,22000.0,20.99,44000.0,13.78
6269,3500.0,12.99,50000.0,18.58
28572,8400.0,8.19,30000.0,28.13
74658,5300.0,14.99,20000.0,28.75
28022,3500.0,13.66,17280.0,33.06
4915,10000.0,6.03,42000.0,9.17
16907,6000.0,8.67,46000.0,15.76
93951,11450.0,16.99,40000.0,13.08
25865,24000.0,7.49,150000.0,6.79
31586,25000.0,11.44,120000.0,5.55
26031,5000.0,13.66,38000.0,34.55
94043,8000.0,16.99,25000.0,12.72
26445,7200.0,14.99,56000.0,23.25
44176,22000.0,10.99,95000.0,26.81
26736,7800.0,8.67,45000.0,31.92
18527,10000.0,12.99,32000.0,14.14
56457,14000.0,16.99,75000.0,14.96
80600,15875.0,25.99,53500.0,23.82
84456,26000.0,16.29,65000.0,37.15
89617,9000.0,10.15,56000.0,23.87
72018,5000.0,6.03,125000.0,20.38
22984,30000.0,14.99,180000.0,16.15
28310,18000.0,14.99,85960.0,3.53
72896,15825.0,18.24,36178.0,28.5
89530,8000.0,12.99,70000.0,18.64
21184,12000.0,14.99,75000.0,8.38
45039,15400.0,6.49,74000.0,12.59
61284,18000.0,12.49,45000.0,17.81
18463,15000.0,13.66,75000.0,24.4
79472,12700.0,7.12,75000.0,12.88
73618,11200.0,7.12,62000.0,13.12
29651,8000.0,11.44,20604.0,12.23
76113,26400.0,15.61,60197.53,33.57
73137,29000.0,6.49,110000.0,15.73
48525,4000.0,13.35,36000.0,31.77
73414,21000.0,10.99,68160.0,16.41
98265,2575.0,10.15,14400.0,27.0
50953,13000.0,7.69,40000.0,12.87
85061,5000.0,16.99,64500.0,16.13
96555,15000.0,18.99,50000.0,19.71
78747,3150.0,11.67,51000.0,10.54
18691,20000.0,12.39,60000.0,12.48
52086,17000.0,14.49,84000.0,17.8
85647,30000.0,13.35,85000.0,14.73
86257,16000.0,7.69,60000.0,25.12
67218,13175.0,17.57,44000.0,18.09
89968,25000.0,8.39,60000.0,20.47
63750,6500.0,19.52,24300.0,38.02
96368,18000.0,7.69,85000.0,16.62
25108,10500.0,14.99,38000.0,7.01
80223,10975.0,16.29,25000.0,10.71
20528,13200.0,12.39,70000.0,13.01
18156,15000.0,11.99,65000.0,22.73
99494,7475.0,25.57,25000.0,24.87
92430,6000.0,9.17,41000.0,3.78
80522,6600.0,7.12,68000.0,10.08
7415,24000.0,8.67,70000.0,32.78
17499,10000.0,7.49,93200.0,11.82
44260,22125.0,15.61,50287.0,22.0
41349,8500.0,11.67,75000.0,20.54
13800,10000.0,10.49,30000.0,17.64
53808,16000.0,8.39,91000.0,18.64
7073,8000.0,11.99,40000.0,16.11
20744,24000.0,14.99,78325.0,16.07
74711,10000.0,12.49,48000.0,33.92
28496,29000.0,11.99,92000.0,27.7
88095,26850.0,20.99,100000.0,14.81
41988,18000.0,10.99,42000.0,20.31
67444,10000.0,13.98,81000.0,3.82
86848,22250.0,18.99,48450.59,27.82
94787,10000.0,16.99,23000.0,39.09
65662,3500.0,17.57,42000.0,19.2
44422,15000.0,13.98,75000.0,12.16
32868,13000.0,11.67,38000.0,21.19
79816,19950.0,24.5,62380.0,12.51
6084,15600.0,6.49,111180.0,7.99
45067,4500.0,13.98,300000.0,14.63
85980,9600.0,13.35,65000.0,23.9
53980,20000.0,10.99,58000.0,24.97
41985,8000.0,12.99,60000.0,3.24
25276,4000.0,8.19,62600.0,6.67
33360,35000.0,10.99,123926.0,16.22
59841,22000.0,6.03,140000.0,7.53
33488,4550.0,17.57,23000.0,13.57
99531,7950.0,23.43,44345.0,16.05
63384,35000.0,14.49,140000.0,15.88
67842,28000.0,7.69,100000.0,11.41
31976,28000.0,14.99,93000.0,3.59
42061,10000.0,8.39,62000.0,3.93
95008,16500.0,13.35,52000.0,28.58
44217,9600.0,17.57,32250.0,19.28
73413,10050.0,12.99,23000.0,21.35
16643,4800.0,8.67,57000.0,23.33
37639,10000.0,7.12,44000.0,10.58
90971,20000.0,14.49,120000.0,24.51
70233,2425.0,16.99,36000.0,29.03
38510,20000.0,11.67,60000.0,33.83
90968,8000.0,11.67,60000.0,19.26
19726,4000.0,14.99,30000.0,19.6
64745,20000.0,13.35,54400.0,19.21
95075,6000.0,15.61,49000.0,26.43
62004,20000.0,9.17,81000.0,11.27
52476,28000.0,10.15,180000.0,36.72
65284,10000.0,13.98,35000.0,11.52
60248,12000.0,12.49,35000.0,11.56
44462,12000.0,12.99,41000.0,24.85
38029,28000.0,12.99,90000.0,14.2
5340,7025.0,7.49,50000.0,14.86
6326,14000.0,14.31,70000.0,24.98
49411,5000.0,10.15,36000.0,30.83
60387,10000.0,7.69,53000.0,14.9
44609,17000.0,6.49,92000.0,10.73
50632,10000.0,16.99,56000.0,18.37
18502,28000.0,11.44,143000.0,27.97
7441,16000.0,17.86,60000.0,19.56
93663,25000.0,10.99,60000.0,14.34
92300,10000.0,9.17,91000.0,14.6
86464,12000.0,8.39,40000.0,21.12
72808,6000.0,19.52,55000.0,2.88
41889,21000.0,12.99,190000.0,5.05
95621,11025.0,12.99,34500.0,10.22
82437,15000.0,10.15,102000.0,9.78
81493,10000.0,11.67,41000.0,16.33
62968,11250.0,13.98,36000.0,20.45
55184,24000.0,6.03,99000.0,8.19
48449,1000.0,12.49,103000.0,11.97
97297,15000.0,13.98,53000.0,17.37
22580,6000.0,9.49,160000.0,13.46
42810,10000.0,8.39,45000.0,22.69
38539,10000.0,8.39,70000.0,13.48
11000,12000.0,11.99,35000.0,29.97
75665,5000.0,11.67,43000.0,14.4
86202,16000.0,6.03,176000.0,18.04
66420,10000.0,13.35,35000.0,19.44
53193,1200.0,11.67,82000.0,15.66
38155,14000.0,11.67,75000.0,9.23
82537,14875.0,20.2,49800.0,26.51
16833,10000.0,9.49,50000.0,9.65
93721,4850.0,16.99,20848.0,34.16
54044,6000.0,12.99,37850.0,29.51
94588,13850.0,8.39,60000.0,11.36
51081,1500.0,10.15,14652.0,4.91
58792,3500.0,18.24,42000.0,35.63
50395,18600.0,18.99,65000.0,28.53
39061,11650.0,20.2,48900.0,7.73
92982,6000.0,14.49,52000.0,23.03
94527,2000.0,18.99,27817.0,9.15
63597,14500.0,13.98,38000.0,19.84
87604,9250.0,16.99,25732.0,16.37
65697,35000.0,12.99,75000.0,14.66
2039,13150.0,14.99,59000.0,24.72
38030,8000.0,14.99,48000.0,30.51
40684,13000.0,13.98,57000.0,10.55
84940,15000.0,6.03,65000.0,9.63
5473,35000.0,9.49,95000.0,17.55
88722,4000.0,19.52,53000.0,23.3
94589,14000.0,25.83,45000.0,26.83
79286,20000.0,15.61,120000.0,11.58
65383,18000.0,24.08,53000.0,31.93
16412,24625.0,19.99,65000.0,29.51
80185,7000.0,10.15,43000.0,23.67
92808,7625.0,19.52,65000.0,12.15
7169,35000.0,10.49,128000.0,20.41
75275,11475.0,20.99,32000.0,33.59
80285,35000.0,14.99,90000.0,12.69
15275,12000.0,9.49,95000.0,21.68
63229,35000.0,17.57,82000.0,23.7
33815,35000.0,13.98,150000.0,10.44
27014,35000.0,12.99,1500000.0,4.3
56859,20000.0,13.98,80000.0,11.73
6259,6000.0,12.39,27040.0,39.59
12859,24000.0,8.67,184785.0,5.19
73237,20500.0,12.49,68500.0,12.0
78009,3600.0,14.99,98000.0,23.31
9368,11500.0,8.19,77000.0,11.66
1781,5000.0,16.49,21800.0,34.64
57137,6000.0,7.69,40000.0,20.61
3805,28000.0,6.49,100000.0,15.33
80058,35000.0,18.99,120000.0,20.29
46360,17000.0,6.49,75000.0,18.63
7127,30000.0,8.67,120000.0,8.9
36893,12000.0,16.99,88300.0,20.63
48825,9600.0,12.49,49000.0,31.64
39684,10425.0,18.99,29000.0,32.24
24536,20000.0,10.49,165000.0,11.65
50314,24000.0,13.98,90000.0,15.93
40951,4800.0,8.39,90000.0,23.17
66373,18000.0,14.49,65000.0,25.77
73117,19700.0,7.69,55000.0,12.63
95164,2175.0,16.29,34645.0,20.12
17222,15000.0,12.39,55000.0,28.8
50223,18000.0,10.15,60000.0,13.06
13394,28000.0,11.44,70000.0,15.31
95218,23000.0,17.57,70000.0,22.18
26472,2000.0,15.59,44000.0,18.14
90486,21000.0,16.29,80000.0,16.31
12340,30000.0,9.49,83000.0,14.14
3827,6000.0,12.39,95000.0,14.79
43291,13875.0,16.29,31800.0,9.51
40432,25000.0,12.99,65000.0,23.43
12104,1600.0,8.19,68000.0,33.39
40906,15000.0,12.99,81465.0,34.43
83807,15000.0,10.15,65000.0,21.64
66380,9000.0,14.49,30000.0,13.08
44750,7000.0,13.35,165500.0,15.21
51574,10750.0,16.29,30000.0,26.6
24796,4000.0,8.19,73000.0,15.5
38950,5950.0,16.29,29000.0,23.01
68341,10200.0,13.98,60000.0,7.98
34146,35000.0,11.67,70000.0,16.78
33038,14025.0,18.24,90000.0,15.36
25075,7500.0,17.86,150000.0,10.19
40664,20000.0,11.67,120000.0,20.49
19039,6000.0,8.19,65000.0,7.41
14363,35000.0,12.99,200000.0,16.11
54643,28000.0,11.67,220000.0,12.53
77488,8000.0,12.99,80000.0,16.78
93578,18000.0,13.35,40000.0,17.85
33138,20000.0,12.99,52000.0,27.3
74457,35000.0,7.69,130000.0,13.85
6863,20000.0,10.49,68000.0,14.14
22468,7200.0,11.99,75000.0,30.19
54416,7000.0,7.69,50000.0,8.93
83799,35000.0,18.99,70000.0,19.61
16179,7725.0,12.39,45300.0,11.68
75094,4000.0,12.49,50000.0,13.18
45623,35000.0,14.49,97600.0,25.98
57629,16000.0,15.61,130000.0,14.39
52469,10000.0,9.17,110000.0,1.96
31994,25000.0,14.49,80000.0,11.97
63402,15000.0,24.08,65000.0,24.76
66817,9000.0,13.35,85000.0,14.83
96092,29800.0,16.99,189000.0,11.63
3345,28000.0,8.19,82000.0,15.35
304,15000.0,11.44,580000.0,2.12
15673,4000.0,15.99,40000.0,7.77
21905,6000.0,10.49,48000.0,17.18
75411,6000.0,14.49,38000.0,12.67
73229,6000.0,7.69,48000.0,8.48
92858,12000.0,6.03,128000.0,9.13
10742,12000.0,10.49,124000.0,9.32
34767,24000.0,16.29,80000.0,28.13
22811,14400.0,6.03,70000.0,13.03
97222,15000.0,12.49,180000.0,28.16
57640,1000.0,15.61,57000.0,22.69
16658,12000.0,12.39,50000.0,24.34
85375,15000.0,13.35,98000.0,26.16
2814,10000.0,9.49,83500.0,36.4
92277,9000.0,10.15,52000.0,26.17
73658,12225.0,14.49,72000.0,27.97
4707,2100.0,14.31,76000.0,19.91
27960,21000.0,17.14,68000.0,37.34
98573,4000.0,18.99,72000.0,11.32
53995,8000.0,13.35,21000.0,28.51
81015,30000.0,15.61,92400.0,13.39
50384,15000.0,13.35,36400.0,30.2
83260,6500.0,9.17,55000.0,13.79
33743,33300.0,18.99,90500.0,34.7
91002,29975.0,20.2,67080.0,11.54
10624,10000.0,11.99,35000.0,26.27
74960,5000.0,12.49,62400.0,15.12
36624,10000.0,9.17,63000.0,16.53
84995,12000.0,16.29,65000.0,25.55
50716,20000.0,6.49,150000.0,13.54
14636,20125.0,11.99,45000.0,15.9
45225,14750.0,13.35,39000.0,36.06
69789,35000.0,13.98,106000.0,17.34
95326,13700.0,13.98,45973.0,19.99
3512,35000.0,8.19,101000.0,18.48
38698,20000.0,8.39,67000.0,23.63
34613,14000.0,7.12,80000.0,11.42
91382,5000.0,6.03,105000.0,21.35
23988,21000.0,13.66,72000.0,35.83
18827,12000.0,15.99,36000.0,28.6
63242,10000.0,14.49,36000.0,8.93
45990,9250.0,20.99,31065.0,24.84
56311,24000.0,10.15,78400.0,13.32
351,10000.0,11.44,66000.0,9.76
84861,7000.0,10.99,45684.0,10.17
53112,2600.0,12.99,110000.0,17.34
77364,2000.0,15.61,45000.0,17.47
85698,16000.0,8.39,102000.0,18.17
62768,8875.0,16.29,80000.0,20.38
67363,6725.0,18.99,36000.0,20.33
17846,5000.0,9.49,43200.0,15.61
13714,3475.0,12.99,30000.0,15.52
67298,18000.0,16.99,102000.0,17.5
82241,2500.0,19.52,46200.0,33.01
85888,9600.0,23.43,32000.0,27.12
82112,11200.0,15.61,79200.0,9.8
77238,8000.0,9.17,65000.0,19.9
79668,12000.0,12.99,62000.0,21.11
57513,5725.0,6.49,70000.0,11.69
60410,6000.0,8.39,56000.0,20.98
82107,16575.0,6.49,67500.0,17.97
80658,19200.0,14.49,83000.0,10.45
37982,11000.0,15.61,48000.0,24.18
90651,15000.0,9.17,68000.0,13.49
47345,11250.0,10.15,25000.0,17.28
89080,20000.0,16.99,90000.0,11.37
8690,25000.0,21.99,135000.0,4.28
69709,7975.0,16.99,25000.0,18.19
70810,12200.0,13.98,34000.0,13.8
46288,27000.0,6.49,198000.0,23.28
20106,25000.0,6.99,142000.0,16.9
95203,7475.0,18.24,40000.0,17.04
95581,15000.0,11.67,80000.0,30.53
66202,25000.0,24.5,72000.0,29.87
80941,10000.0,13.35,50000.0,30.99
77912,10000.0,10.99,38626.0,22.78
73471,20000.0,9.17,68000.0,21.44
32595,20000.0,15.61,75000.0,33.86
93092,14100.0,14.99,58058.0,33.96
69788,24000.0,8.39,110000.0,13.27
56961,18000.0,13.98,110000.0,9.99
25064,14000.0,9.49,42000.0,28.86
47180,8000.0,13.98,100000.0,6.65
82905,4500.0,11.67,28000.0,18.35
47268,10000.0,23.43,42000.0,23.69
43794,8000.0,7.69,110000.0,14.71
22236,10000.0,15.59,91000.0,5.25
6809,3600.0,17.14,24000.0,24.5
75283,16800.0,12.49,46530.0,35.86
82971,3000.0,24.99,22000.0,23.35
32934,35000.0,9.17,448447.0,6.1
92367,2000.0,12.49,38000.0,31.9
50048,8000.0,13.35,28000.0,27.95
13787,24000.0,14.99,60000.0,19.98
53085,27500.0,12.99,66000.0,24.64
40923,12000.0,22.15,90000.0,13.79
86288,20000.0,13.35,45000.0,18.27
81889,5000.0,19.52,95000.0,14.13
78856,8000.0,13.98,55000.0,17.96
27848,7500.0,9.49,50000.0,13.39
26212,10100.0,15.99,48000.0,12.03
